population,characteristics_code,subcategory_code,domain_label,ucc,item_text,display_level,series_id,aggregate_expenditure,mean_expenditure,rse,high_rse
Q1,02,HOUSING,Housing,220902,Parking,5,CXU220902LB0102M,24.0,1.0,84.04,true
Q1,02,HOUSING,Housing,230112,Painting and papering,5,CXU230112LB0102M,1028.0,38.0,32.98,true
Q1,02,HOUSING,Housing,230113,Plumbing and water heating,5,CXU230113LB0102M,2195.0,81.0,19.07,false
Q1,02,HOUSING,Housing,230114,"Heat, a/c, and electrical work",5,CXU230114LB0102M,3726.0,137.0,27.51,true
Q1,02,HOUSING,Housing,230115,Roofing and gutters,5,CXU230115LB0102M,2952.0,109.0,22.58,false
Q1,02,HOUSING,Housing,230117,"Dishwashers (built-in), garbage disposals, and range hoods (renter)",3,CXU230117LB0102M,64.0,2.0,104.93,true
Q1,02,HOUSING,Housing,230118,"Dishwashers (built-in), garbage disposals, and range hoods (owned home)",3,CXU230118LB0102M,219.0,8.0,37.29,true
Q1,02,HOUSING,Housing,230141,Repair of built-in appliances,5,CXU230141LB0102M,0.0,,105.14,true
Q1,02,HOUSING,Housing,230142,Repair of built-in appliances,5,CXU230142LB0102M,2.0,,75.89,true
Q1,02,HOUSING,Housing,230143,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",5,CXU230143LB0102M,204.0,8.0,21.99,false
Q1,02,HOUSING,Housing,230144,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",5,CXU230144LB0102M,29.0,1.0,52.5,true
Q1,02,HOUSING,Housing,230150,Repair or maintenance services,5,CXU230150LB0102M,438.0,16.0,40.0,true
Q1,02,HOUSING,Housing,230151,Other repair and maintenance services,5,CXU230151LB0102M,4611.0,170.0,25.07,true
Q1,02,HOUSING,Housing,230152,Repair and remodeling services,6,CXU230152LB0102M,286.0,11.0,74.57,true
Q1,02,HOUSING,Housing,230901,Property management,5,CXU230901LB0102M,2839.0,105.0,22.48,false
Q1,02,HOUSING,Housing,230902,Property management,6,CXU230902LB0102M,67.0,2.0,45.05,true
Q1,02,HOUSING,Housing,240111,"Paint, wallpaper, and supplies",5,CXU240111LB0102M,170.0,6.0,90.52,true
Q1,02,HOUSING,Housing,240112,"Paints, wallpaper, and supplies",5,CXU240112LB0102M,209.0,8.0,20.82,false
Q1,02,HOUSING,Housing,240113,"Paints, wallpaper, and supplies",6,CXU240113LB0102M,33.0,1.0,118.25,true
Q1,02,HOUSING,Housing,240121,Tools and equipment for painting and wallpapering,5,CXU240121LB0102M,18.0,1.0,90.5,true
Q1,02,HOUSING,Housing,240122,Tools and equipment for painting and wallpapering,5,CXU240122LB0102M,22.0,1.0,20.82,false
Q1,02,HOUSING,Housing,240123,Tools and equipment for painting and wallpapering,6,CXU240123LB0102M,4.0,,118.25,true
Q1,02,HOUSING,Housing,240211,"Materials for plastering, panels, roofing, and gutters, etc.",5,CXU240211LB0102M,13.0,,33.64,true
Q1,02,HOUSING,Housing,240212,"Materials for plaster, panel, siding, windows, doors, screens, and awnings",5,CXU240212LB0102M,499.0,18.0,33.47,true
Q1,02,HOUSING,Housing,240213,Materials and equipment for roofs and gutters,5,CXU240213LB0102M,126.0,5.0,50.68,true
Q1,02,HOUSING,Housing,240214,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",6,CXU240214LB0102M,,,,
Q1,02,HOUSING,Housing,240221,"Materials for patio, walk, fence, driveway, masonry, brick and stucco work",5,CXU240221LB0102M,1.0,,44.11,true
Q1,02,HOUSING,Housing,240222,"Materials for patio, walk, fence, driveway, masonry, brick, and stucco work",5,CXU240222LB0102M,73.0,3.0,37.19,true
Q1,02,HOUSING,Housing,240223,"Material for patio, walk, fence, drive, masonry, brick, and stucco",6,CXU240223LB0102M,,,,
Q1,02,HOUSING,Housing,240311,Plumbing supplies and equipment,5,CXU240311LB0102M,15.0,1.0,42.79,true
Q1,02,HOUSING,Housing,240312,Plumbing supplies and equipment,5,CXU240312LB0102M,371.0,14.0,51.15,true
Q1,02,HOUSING,Housing,240313,Plumbing supplies and equipment,6,CXU240313LB0102M,,,,
Q1,02,HOUSING,Housing,240321,"Electrical supplies, heating, and cooling equipment",5,CXU240321LB0102M,13.0,,85.25,true
Q1,02,HOUSING,Housing,240322,"Electrical supplies, heating, and cooling equipment",5,CXU240322LB0102M,97.0,4.0,27.4,true
Q1,02,HOUSING,Housing,240323,"Electrical supplies, heating, and cooling equipment",6,CXU240323LB0102M,,,,
Q1,02,HOUSING,Housing,250111,Fuel oil (renter),4,CXU250111LB0102M,116.0,4.0,50.68,true
Q1,02,HOUSING,Housing,250112,Fuel oil (owned home),4,CXU250112LB0102M,663.0,24.0,24.66,false
Q1,02,HOUSING,Housing,250113,Fuel oil (owned vacation),4,CXU250113LB0102M,,,,
Q1,02,HOUSING,Housing,250114,Fuel oil (rented vacation),4,CXU250114LB0102M,,,,
Q1,02,HOUSING,Housing,250211,"Gas, bottled/tank (renter)",4,CXU250211LB0102M,67.0,2.0,65.75,true
Q1,02,HOUSING,Housing,250212,"Gas, bottled/tank (owned home)",4,CXU250212LB0102M,760.0,28.0,24.2,false
Q1,02,HOUSING,Housing,250213,"Gas, bottled/tank (owned vacation)",4,CXU250213LB0102M,23.0,1.0,43.89,true
Q1,02,HOUSING,Housing,250214,"Gas, bottled/tank (rented vacation)",4,CXU250214LB0102M,,,,
Q1,02,HOUSING,Housing,250911,"Coal, wood, and other fuels (renter)",4,CXU250911LB0102M,16.0,1.0,59.24,true
Q1,02,HOUSING,Housing,250912,"Coal, wood, and other fuels (owned home)",4,CXU250912LB0102M,74.0,3.0,27.03,true
Q1,02,HOUSING,Housing,250913,"Coal, wood, and other fuels (owned vacation)",4,CXU250913LB0102M,,,,
Q1,02,HOUSING,Housing,250914,"Coal, wood, and other fuels (rented vacation)",4,CXU250914LB0102M,,,,
Q1,02,HOUSING,Housing,260111,Electricity (renter),3,CXU260111LB0102M,14211.0,524.0,4.18,false
Q1,02,HOUSING,Housing,260112,Electricity (owned home),3,CXU260112LB0102M,20225.0,745.0,3.77,false
Q1,02,HOUSING,Housing,260113,Electricity (owned vacation),3,CXU260113LB0102M,109.0,4.0,43.93,true
Q1,02,HOUSING,Housing,260114,Electricity (rented vacation),3,CXU260114LB0102M,92.0,3.0,43.37,true
Q1,02,HOUSING,Housing,260211,Natural gas (renter),3,CXU260211LB0102M,2397.0,88.0,7.39,false
Q1,02,HOUSING,Housing,260212,Natural gas (owned home),3,CXU260212LB0102M,5325.0,196.0,10.66,false
Q1,02,HOUSING,Housing,260213,Natural gas (owned vacation),3,CXU260213LB0102M,31.0,1.0,56.63,true
Q1,02,HOUSING,Housing,260214,Natural gas (rented vacation),3,CXU260214LB0102M,44.0,2.0,54.55,true
Q1,02,HOUSING,Housing,270102,Cellular phone service,3,CXU270102LB0102M,19549.0,720.0,2.75,false
Q1,02,HOUSING,Housing,270104,Phone cards,4,CXU270104LB0102M,,,,
Q1,02,HOUSING,Housing,270106,Residential telephone including VOIP,4,CXU270106LB0102M,3076.0,113.0,6.74,false
Q1,02,HOUSING,Housing,270211,Water/sewer maintenance (renter),4,CXU270211LB0102M,2423.0,89.0,7.88,false
Q1,02,HOUSING,Housing,270212,Water/sewer maintenance (owned home),4,CXU270212LB0102M,6235.0,230.0,6.06,false
Q1,02,HOUSING,Housing,270213,Water/sewer maintenance (owned vacation),4,CXU270213LB0102M,38.0,1.0,52.38,true
Q1,02,HOUSING,Housing,270214,Water/sewer maintenance (rented vacation),4,CXU270214LB0102M,20.0,1.0,47.64,true
Q1,02,HOUSING,Housing,270411,Trash/garbage collection (renter),4,CXU270411LB0102M,626.0,23.0,10.39,false
Q1,02,HOUSING,Housing,270412,Trash/garbage collection (owned home),4,CXU270412LB0102M,3297.0,121.0,6.36,false
Q1,02,HOUSING,Housing,270413,Trash/garbage collection (owned vacation),4,CXU270413LB0102M,52.0,2.0,56.69,true
Q1,02,HOUSING,Housing,270414,Trash/garbage collection (rented vacation),4,CXU270414LB0102M,8.0,,63.24,true
Q1,02,HOUSING,Housing,270901,Septic tank cleaning (renter),4,CXU270901LB0102M,,,,
Q1,02,HOUSING,Housing,270902,Septic tank cleaning (owned home),4,CXU270902LB0102M,3.0,,67.38,true
Q1,02,HOUSING,Housing,270903,Septic tank cleaning (owned vacation),4,CXU270903LB0102M,,,,
Q1,02,HOUSING,Housing,270904,Septic tank cleaning (rented vacation),4,CXU270904LB0102M,,,,
Q1,02,HOUSING,Housing,270906,Septic tank cleaning (renter),4,CXU270906LB0102M,,,,
Q1,02,HOUSING,Housing,270907,Septic tank cleaning (owner),4,CXU270907LB0102M,159.0,6.0,57.0,true
Q1,02,HOUSING,Housing,280110,Bathroom linens,3,CXU280110LB0102M,365.0,14.0,26.35,true
Q1,02,HOUSING,Housing,280120,Bedroom linens,3,CXU280120LB0102M,1229.0,45.0,28.05,true
Q1,02,HOUSING,Housing,280140,"Kitchen, dining room, and other linens",3,CXU280140LB0102M,80.0,3.0,21.86,false
Q1,02,HOUSING,Housing,280210,Curtains and draperies,3,CXU280210LB0102M,145.0,5.0,21.46,false
Q1,02,HOUSING,Housing,280220,Slipcovers and decorative pillows,3,CXU280220LB0102M,46.0,2.0,25.07,true
Q1,02,HOUSING,Housing,290110,Mattresses and springs,3,CXU290110LB0102M,1239.0,46.0,17.41,false
Q1,02,HOUSING,Housing,290120,Other bedroom furniture,3,CXU290120LB0102M,1239.0,46.0,30.67,true
Q1,02,HOUSING,Housing,290210,Sofas,3,CXU290210LB0102M,2580.0,95.0,15.14,false
Q1,02,HOUSING,Housing,290310,Living room chairs,3,CXU290310LB0102M,936.0,34.0,24.54,false
Q1,02,HOUSING,Housing,290320,Living room tables,3,CXU290320LB0102M,294.0,11.0,21.53,false
Q1,02,HOUSING,Housing,290410,Kitchen and dining room furniture,3,CXU290410LB0102M,420.0,15.0,42.47,true
Q1,02,HOUSING,Housing,290420,Infants' furniture,3,CXU290420LB0102M,30.0,1.0,45.59,true
Q1,02,HOUSING,Housing,290430,Outdoor furniture,3,CXU290430LB0102M,177.0,7.0,26.12,true
Q1,02,HOUSING,Housing,290440,"Wall units, cabinets, and other furniture",3,CXU290440LB0102M,555.0,20.0,21.04,false
Q1,02,HOUSING,Housing,300111,Refrigerators and freezers (renter),3,CXU300111LB0102M,360.0,13.0,47.77,true
Q1,02,HOUSING,Housing,300112,Refrigerators and freezers (owned home),3,CXU300112LB0102M,1057.0,39.0,26.6,true
Q1,02,HOUSING,Housing,300216,Clothes washers or dryers (renter),3,CXU300216LB0102M,518.0,19.0,31.94,true
Q1,02,HOUSING,Housing,300217,Clothes washers or dryers (owned home),3,CXU300217LB0102M,865.0,32.0,26.78,true
Q1,02,HOUSING,Housing,300311,Cooking stoves and ovens (renter),3,CXU300311LB0102M,180.0,7.0,76.88,true
Q1,02,HOUSING,Housing,300312,Cooking stoves and ovens (owned home),3,CXU300312LB0102M,670.0,25.0,25.74,true
Q1,02,HOUSING,Housing,300321,Microwave ovens (renter),3,CXU300321LB0102M,247.0,9.0,29.85,true
Q1,02,HOUSING,Housing,300322,Microwave ovens (owned home),3,CXU300322LB0102M,249.0,9.0,30.61,true
Q1,02,HOUSING,Housing,300331,Portable dishwashers (renter),3,CXU300331LB0102M,,,,
Q1,02,HOUSING,Housing,300332,Portable dishwashers (owned home),3,CXU300332LB0102M,,,,
Q1,02,HOUSING,Housing,300411,Window air conditioners (renter),3,CXU300411LB0102M,70.0,3.0,43.02,true
Q1,02,HOUSING,Housing,300412,Window air conditioners (owned home),3,CXU300412LB0102M,42.0,2.0,49.8,true
Q1,02,HOUSING,Housing,300900,Miscellaneous household appliances,3,CXU300900LB0102M,95.0,4.0,66.82,true
Q1,02,HOUSING,Housing,320111,"Floor coverings, nonpermanent",3,CXU320111LB0102M,176.0,6.0,19.31,false
Q1,02,HOUSING,Housing,320120,Window coverings,3,CXU320120LB0102M,126.0,5.0,63.43,true
Q1,02,HOUSING,Housing,320130,Infants' equipment,3,CXU320130LB0102M,550.0,20.0,100.8,true
Q1,02,HOUSING,Housing,320140,Laundry and cleaning equipment,3,CXU320140LB0102M,395.0,15.0,20.44,false
Q1,02,HOUSING,Housing,320150,Outdoor equipment,3,CXU320150LB0102M,440.0,16.0,31.74,true
Q1,02,HOUSING,Housing,320221,"Lamps, lighting fixtures, and ceiling fans",3,CXU320221LB0102M,659.0,24.0,41.09,true
Q1,02,HOUSING,Housing,320232,Telephones and accessories,3,CXU320232LB0102M,1487.0,55.0,15.48,false
Q1,02,HOUSING,Housing,320233,Clocks and other household decorative items,3,CXU320233LB0102M,1781.0,66.0,18.48,false
Q1,02,HOUSING,Housing,320330,Flatware,4,CXU320330LB0102M,38.0,1.0,33.92,true
Q1,02,HOUSING,Housing,320345,"Dinnerware, glassware, and serving pieces",4,CXU320345LB0102M,216.0,8.0,13.34,false
Q1,02,HOUSING,Housing,320370,Nonelectric cookware,4,CXU320370LB0102M,551.0,20.0,63.29,true
Q1,02,HOUSING,Housing,320380,Tableware and nonelectric kitchenware,4,CXU320380LB0102M,262.0,10.0,23.89,false
Q1,02,HOUSING,Housing,320410,Lawn and garden equipment,3,CXU320410LB0102M,550.0,20.0,39.28,true
Q1,02,HOUSING,Housing,320420,Power tools,3,CXU320420LB0102M,383.0,14.0,29.15,true
Q1,02,HOUSING,Housing,320430,Other hardware,3,CXU320430LB0102M,254.0,9.0,58.7,true
Q1,02,HOUSING,Housing,320511,Electric floor cleaning equipment,3,CXU320511LB0102M,298.0,11.0,25.39,true
Q1,02,HOUSING,Housing,320512,Sewing machines,3,CXU320512LB0102M,15.0,1.0,34.77,true
Q1,02,HOUSING,Housing,320521,Small electric kitchen appliances,4,CXU320521LB0102M,697.0,26.0,12.34,false
Q1,02,HOUSING,Housing,320522,Portable heating and cooling equipment,4,CXU320522LB0102M,217.0,8.0,22.16,false
Q1,02,HOUSING,Housing,320611,"Material for insulation, other maintenance, and repair",6,CXU320611LB0102M,137.0,5.0,33.35,true
Q1,02,HOUSING,Housing,320612,"Material for insulation, other maintenance, and repair",6,CXU320612LB0102M,390.0,14.0,21.21,false
Q1,02,HOUSING,Housing,320613,"Material for insulation, other maintenance, and repair",7,CXU320613LB0102M,,,,
Q1,02,HOUSING,Housing,320624,"Flooring installation, repair, and replacement",5,CXU320624LB0102M,703.0,26.0,95.24,true
Q1,02,HOUSING,Housing,320625,"Flooring installation, repair, and replacement",5,CXU320625LB0102M,852.0,31.0,50.78,true
Q1,02,HOUSING,Housing,320626,"Flooring installation, repair, and replacement",6,CXU320626LB0102M,,,,
Q1,02,HOUSING,Housing,320631,Material for landscape maintenance,5,CXU320631LB0102M,22.0,1.0,57.64,true
Q1,02,HOUSING,Housing,320632,Materials for landscaping maintenance,5,CXU320632LB0102M,,,,
Q1,02,HOUSING,Housing,320633,Materials for landscaping maintenance,6,CXU320633LB0102M,,,,
Q1,02,HOUSING,Housing,320901,Office furniture for home use,3,CXU320901LB0102M,115.0,4.0,32.69,true
Q1,02,HOUSING,Housing,320902,Hand tools,3,CXU320902LB0102M,365.0,14.0,35.41,true
Q1,02,HOUSING,Housing,320903,Indoor plants and fresh flowers,3,CXU320903LB0102M,829.0,31.0,14.04,false
Q1,02,HOUSING,Housing,320904,Closet and storage items,3,CXU320904LB0102M,286.0,11.0,33.34,true
Q1,02,HOUSING,Housing,320905,Miscellaneous household equipment and parts,3,CXU320905LB0102M,939.0,35.0,32.19,true
Q1,02,HOUSING,Housing,330119,Laundry and cleaning products,2,CXU330119LB0102M,3727.0,138.0,9.99,false
Q1,02,HOUSING,Housing,330310,"Cleansing and toilet tissue, paper towels, and napkins",3,CXU330310LB0102M,2618.0,97.0,8.71,false
Q1,02,HOUSING,Housing,330410,"Stationery, stationery supplies, and gift wrap",3,CXU330410LB0102M,793.0,29.0,13.61,false
Q1,02,HOUSING,Housing,330510,Miscellaneous household products,3,CXU330510LB0102M,3973.0,147.0,14.03,false
Q1,02,HOUSING,Housing,330511,Termite/pest control products,3,CXU330511LB0102M,218.0,8.0,21.59,false
Q1,02,HOUSING,Housing,330610,Lawn and garden supplies,3,CXU330610LB0102M,2051.0,76.0,24.22,false
Q1,02,HOUSING,Housing,340110,Postage,3,CXU340110LB0102M,660.0,24.0,29.02,true
Q1,02,HOUSING,Housing,340120,Delivery services,3,CXU340120LB0102M,44.0,2.0,42.84,true
Q1,02,HOUSING,Housing,340310,Housekeeping services,3,CXU340310LB0102M,1207.0,44.0,15.99,false
Q1,02,HOUSING,Housing,340410,Gardening and lawn care service,3,CXU340410LB0102M,2735.0,101.0,13.19,false
Q1,02,HOUSING,Housing,340420,Water softening services,3,CXU340420LB0102M,22.0,1.0,44.95,true
Q1,02,HOUSING,Housing,340421,Water softening services (owner),3,CXU340421LB0102M,23.0,1.0,34.3,true
Q1,02,HOUSING,Housing,340422,Water softening services (renter),3,CXU340422LB0102M,3.0,,79.26,true
Q1,02,HOUSING,Housing,340510,"Moving, storage, and freight",3,CXU340510LB0102M,704.0,26.0,27.41,true
Q1,02,HOUSING,Housing,340520,"Household laundry and dry cleaning, sent out (nonclothing) not coin-operated",3,CXU340520LB0102M,,,,
Q1,02,HOUSING,Housing,340530,Coin-operated household laundry and dry cleaning (nonclothing),3,CXU340530LB0102M,,,,
Q1,02,HOUSING,Housing,340620,"Appliance repair, including service center",3,CXU340620LB0102M,20.0,1.0,46.7,true
Q1,02,HOUSING,Housing,340630,"Reupholstering, furniture repair",3,CXU340630LB0102M,67.0,2.0,36.0,true
Q1,02,HOUSING,Housing,340901,"Repairs/rentals of lawn and garden equipment, hand or power tools, and other household equipment",3,CXU340901LB0102M,81.0,3.0,38.55,true
Q1,02,HOUSING,Housing,340903,Other home services,3,CXU340903LB0102M,276.0,10.0,32.28,true
Q1,02,HOUSING,Housing,340904,Rental of furniture,3,CXU340904LB0102M,247.0,9.0,44.82,true
Q1,02,HOUSING,Housing,340906,"Care for elderly, invalids, handicapped, etc.",3,CXU340906LB0102M,3756.0,138.0,66.72,true
Q1,02,HOUSING,Housing,340907,Appliance rentals,3,CXU340907LB0102M,34.0,1.0,46.06,true
Q1,02,HOUSING,Housing,340908,Rental of office equipment for nonbusiness use,3,CXU340908LB0102M,0.0,,121.6,true
Q1,02,HOUSING,Housing,340910,Adult day care centers,3,CXU340910LB0102M,27.0,1.0,97.18,true
Q1,02,HOUSING,Housing,340911,Management and upkeep services for security,5,CXU340911LB0102M,238.0,9.0,35.35,true
Q1,02,HOUSING,Housing,340912,Management and upkeep services for security,6,CXU340912LB0102M,1.0,,107.27,true
Q1,02,HOUSING,Housing,340913,Repair of miscellaneous household equipment and furnishings,3,CXU340913LB0102M,1.0,,99.26,true
Q1,02,HOUSING,Housing,340914,Services for termite/pest control,3,CXU340914LB0102M,872.0,32.0,21.59,false
Q1,02,HOUSING,Housing,340915,Home security system service fees,3,CXU340915LB0102M,477.0,18.0,18.16,false
Q1,02,HOUSING,Housing,350110,Tenant's insurance,4,CXU350110LB0102M,828.0,30.0,13.27,false
Q1,02,HOUSING,Housing,430130,Luggage,3,CXU430130LB0102M,30.0,1.0,69.74,true
Q1,02,HOUSING,Housing,670320,"Babysitting, childcare, daycare, preschool",2,CXU670320LB0102M,1232.0,45.0,32.47,true
Q1,02,HOUSING,Housing,690111,Computers and computer hardware for nonbusiness use,3,CXU690111LB0102M,2373.0,87.0,9.61,false
Q1,02,HOUSING,Housing,690113,Repair of computer systems for nonbusiness use,3,CXU690113LB0102M,110.0,4.0,31.97,true
Q1,02,HOUSING,Housing,690114,Computer information services (internet),3,CXU690114LB0102M,11220.0,413.0,3.42,false
Q1,02,HOUSING,Housing,690116,Internet services away from home,3,CXU690116LB0102M,33.0,1.0,40.6,true
Q1,02,HOUSING,Housing,690117,Portable memory,3,CXU690117LB0102M,70.0,3.0,25.79,true
Q1,02,HOUSING,Housing,690119,Computer software,3,CXU690119LB0102M,319.0,12.0,50.42,true
Q1,02,HOUSING,Housing,690120,Computer accessories,3,CXU690120LB0102M,413.0,15.0,36.43,true
Q1,02,HOUSING,Housing,690230,Business equipment for home use,3,CXU690230LB0102M,16.0,1.0,37.04,true
Q1,02,HOUSING,Housing,690244,Other household appliances (renter),3,CXU690244LB0102M,69.0,3.0,33.18,true
Q1,02,HOUSING,Housing,690245,Other household appliances (owned home),3,CXU690245LB0102M,275.0,10.0,76.97,true
Q1,02,HOUSING,Housing,690310,Installation of computers,3,CXU690310LB0102M,,,,
Q1,02,HOUSING,Housing,790690,Construction materials for jobs not started,6,CXU790690LB0102M,34.0,1.0,29.37,true
Q1,02,HOUSING,Housing,800710,Rent as pay,1,CXU800710LB0102M,3755.0,138.0,20.59,false
Q1,02,HOUSING,Housing,830111,Late fee mortgage pay (owned home),4,CXU830111LB0102M,,,,
Q1,02,HOUSING,Housing,830112,Late fee mortgage pay (owned vacation),5,CXU830112LB0102M,,,,
Q1,02,HOUSING,Housing,880110,"Interest paid, home equity line of credit",4,CXU880110LB0102M,717.0,26.0,28.16,true
Q1,02,HOUSING,Housing,880310,"Interest paid, home equity line of credit",5,CXU880310LB0102M,,,,
Q1,02,HOUSING,Housing,990900,"Rental and installation of dishwashers, range hoods, and garbage disposals",3,CXU990900LB0102M,,,,
Q1,02,HOUSING,Housing,990920,"Materials for additions, finishing basements, and remodeling rooms",6,CXU990920LB0102M,55.0,2.0,105.67,true
Q1,02,HOUSING,Housing,990930,"Materials to finish basements, remodel rooms, or build patios or walkways",6,CXU990930LB0102M,,,,
Q1,02,HOUSING,Housing,990940,Material for finishing basements and remodeling rooms,7,CXU990940LB0102M,,,,
Q1,02,TRANS,Transportation,450110,New cars,3,CXU450110LB0102M,4009.0,148.0,54.74,true
Q1,02,TRANS,Transportation,450210,New trucks,3,CXU450210LB0102M,18205.0,671.0,31.72,true
Q1,02,TRANS,Transportation,450220,New motorcycles,3,CXU450220LB0102M,441.0,16.0,91.52,true
Q1,02,TRANS,Transportation,450350,Car/truck lease payments,5,CXU450350LB0102M,1700.0,63.0,17.47,false
Q1,02,TRANS,Transportation,450351,Extra fees for car/truck lease,5,CXU450351LB0102M,16.0,1.0,36.28,true
Q1,02,TRANS,Transportation,450352,Trade in allowance for car/truck lease,5,CXU450352LB0102M,,,,
Q1,02,TRANS,Transportation,450353,Cash down payment car/truck lease,5,CXU450353LB0102M,180.0,7.0,74.01,true
Q1,02,TRANS,Transportation,450354,Termination fee for car/truck lease,5,CXU450354LB0102M,,,,
Q1,02,TRANS,Transportation,450900,New aircraft,3,CXU450900LB0102M,,,,
Q1,02,TRANS,Transportation,460110,Used cars,3,CXU460110LB0102M,7136.0,263.0,29.69,true
Q1,02,TRANS,Transportation,460901,Used trucks,3,CXU460901LB0102M,16823.0,620.0,22.93,false
Q1,02,TRANS,Transportation,460902,Used motorcycles,3,CXU460902LB0102M,14.0,1.0,103.42,true
Q1,02,TRANS,Transportation,460903,Used aircraft,3,CXU460903LB0102M,,,,
Q1,02,TRANS,Transportation,470111,Gasoline,2,CXU470111LB0102M,31947.0,1177.0,3.69,false
Q1,02,TRANS,Transportation,470112,Diesel fuel,2,CXU470112LB0102M,943.0,35.0,29.47,true
Q1,02,TRANS,Transportation,470113,Gasoline on out of town trips,2,CXU470113LB0102M,1368.0,50.0,11.59,false
Q1,02,TRANS,Transportation,470212,Motor oil on out of town trips,2,CXU470212LB0102M,14.0,1.0,11.59,false
Q1,02,TRANS,Transportation,470311,Electric vehicle charging,2,CXU470311LB0102M,1.0,,102.05,true
Q1,02,TRANS,Transportation,480100,"Vehicle parts, accessories, fluid excluding tires",2,CXU480100LB0102M,459.0,17.0,15.96,false
Q1,02,TRANS,Transportation,480110,"Tires - purchased, replaced, and installed",3,CXU480110LB0102M,2158.0,80.0,14.15,false
Q1,02,TRANS,Transportation,490100,Vehicle maintenance/repair excluding tire purchase,2,CXU490100LB0102M,7140.0,263.0,8.87,false
Q1,02,TRANS,Transportation,490900,Auto repair service policy,3,CXU490900LB0102M,922.0,34.0,47.39,true
Q1,02,TRANS,Transportation,500110,Vehicle insurance,2,CXU500110LB0102M,24286.0,895.0,3.2,false
Q1,02,TRANS,Transportation,510110,Automobile finance charges,3,CXU510110LB0102M,768.0,28.0,17.58,false
Q1,02,TRANS,Transportation,510901,Truck finance charges,3,CXU510901LB0102M,1929.0,71.0,16.93,false
Q1,02,TRANS,Transportation,510902,Motorcycle and plane finance charges,3,CXU510902LB0102M,10.0,,71.7,true
Q1,02,TRANS,Transportation,520110,State and local vehicle registration,2,CXU520110LB0102M,1689.0,62.0,9.54,false
Q1,02,TRANS,Transportation,520310,Drivers' licenses,3,CXU520310LB0102M,185.0,7.0,10.74,false
Q1,02,TRANS,Transportation,520410,Vehicle inspections,3,CXU520410LB0102M,175.0,6.0,14.1,false
Q1,02,TRANS,Transportation,520516,Auto/truck rental,5,CXU520516LB0102M,1068.0,39.0,19.9,false
Q1,02,TRANS,Transportation,520517,Auto/truck rental on out of town trips,5,CXU520517LB0102M,45.0,2.0,67.31,true
Q1,02,TRANS,Transportation,520531,"Parking fees in home city, excluding residence",4,CXU520531LB0102M,487.0,18.0,30.06,true
Q1,02,TRANS,Transportation,520532,Parking fees on out of town trips,4,CXU520532LB0102M,68.0,3.0,20.0,false
Q1,02,TRANS,Transportation,520541,Tolls or electronic toll passes,3,CXU520541LB0102M,378.0,14.0,16.14,false
Q1,02,TRANS,Transportation,520542,Tolls on out of town trips,3,CXU520542LB0102M,54.0,2.0,18.94,false
Q1,02,TRANS,Transportation,520550,Towing charges,3,CXU520550LB0102M,123.0,5.0,50.76,true
Q1,02,TRANS,Transportation,520902,Motorcycle rental,5,CXU520902LB0102M,1.0,,99.69,true
Q1,02,TRANS,Transportation,520903,Aircraft rental,5,CXU520903LB0102M,,,,
Q1,02,TRANS,Transportation,520905,Motorcycle rental on out of town trips,5,CXU520905LB0102M,,,,
Q1,02,TRANS,Transportation,520906,Aircraft rental on out of town trips,5,CXU520906LB0102M,,,,
Q1,02,TRANS,Transportation,530110,Airline fares,2,CXU530110LB0102M,5464.0,201.0,11.59,false
Q1,02,TRANS,Transportation,530210,Intercity bus fares,2,CXU530210LB0102M,158.0,6.0,25.01,true
Q1,02,TRANS,Transportation,530311,Intracity mass transit fares,2,CXU530311LB0102M,2239.0,83.0,8.57,false
Q1,02,TRANS,Transportation,530312,Local transportation on out of town trips,2,CXU530312LB0102M,9.0,,44.51,true
Q1,02,TRANS,Transportation,530411,Taxi fares and limousine services on trips,2,CXU530411LB0102M,5.0,,44.51,true
Q1,02,TRANS,Transportation,530412,Taxi fares and limousine services,2,CXU530412LB0102M,2661.0,98.0,11.74,false
Q1,02,TRANS,Transportation,530510,Intercity train fares,2,CXU530510LB0102M,222.0,8.0,24.1,false
Q1,02,TRANS,Transportation,530901,Ship fares,2,CXU530901LB0102M,2040.0,75.0,67.07,true
Q1,02,TRANS,Transportation,530902,School bus,2,CXU530902LB0102M,8.0,,109.72,true
Q1,02,TRANS,Transportation,620114,Automobile service clubs and GPS services,3,CXU620114LB0102M,240.0,9.0,14.83,false
Q1,02,TRANS,Transportation,850300,Other vehicle finance charges,3,CXU850300LB0102M,40.0,1.0,84.1,true
Q1,02,TRANS,Transportation,950024,Vehicle personal property taxes,2,CXU950024LB0102M,724.0,27.0,9.54,false
Q2,03,ALCBEVG,Alcoholic beverages,200119,"Beer, ale, and other malt beverage",2,CXU200119LB0103M,1741.0,64.0,14.8,false
Q2,03,ALCBEVG,Alcoholic beverages,200219,Distilled spirits,2,CXU200219LB0103M,1067.0,39.0,24.38,false
Q2,03,ALCBEVG,Alcoholic beverages,200310,Wine,2,CXU200310LB0103M,1595.0,59.0,16.85,false
